(32, '14-04-24', 'Inter', 'Cagliari', '2-2', 'Inter', 19, 2)
(32, '14-04-24', 'Napoli', 'Frosinone', '2-2', 'Inter', 19, 2)
(32, '14-04-24', 'Sassuolo', 'Milan', '3-3', 'Inter', 19, 2)
(32, '15-04-24', 'Fiorentina', 'Genoa', '1-1', 'Inter', 19, 2)
(32, '15-04-24', 'Atalanta', 'Verona', '2-2', 'Inter', 19, 2)
(32, '25-04-24', 'Udinese', 'Roma', '1-2', 'Inter', 19, 2)
(33, '19-04-24', 'Genoa', 'Lazio', '0-1', 'Inter', 19, 2)
(33, '19-04-24', 'Cagliari', 'Juventus', '2-2', 'Inter', 19, 2)
(33, '20-04-24', 'Empoli', 'Napoli', '1-0', 'Inter', 19, 2)
(33, '20-04-24', 'Verona', 'Udinese', '1-0', 'Inter', 19, 2)
(33, '21-04-24', 'Salernitana', 'Fiorentina', '0-2', 'Inter', 19, 2)
(33, '21-04-24', 'Sassuolo', 'Lecce', '0-3', 'Inter', 19, 2)
(33, '21-04-24', 'Torino', 'Frosinone', '0-0', 'Inter', 19, 2)
(33, '21-04-24', 'Monza', 'Atalanta', '1-2', 'Inter', 19, 2)
(33, '22-04-24', 'Milan', 'Inter', '1-2', 'Inter', 19, 2)
(33, '22-04-24', 'Roma', 'Bologna', '1-3', 'Inter', 20, 2)
